"Genotype","Treatment","Time","emmean","SE","df","lower.CL","upper.CL",".group"
"Col-0","U","Day 5",56.6614499999998,7.99778727808862,342,35.4964392806628,77.8264607193367,"a"
"Col-0","L","Day 5",75.1955500000001,7.99778727808856,342,54.0305392806633,96.3605607193369,"a"
"Col-0","M","Day 5",81.6583500000001,7.99778727808857,342,60.4933392806632,102.823360719337,"a"
"rhe1","U","Day 5",81.94825,7.99778727808861,342,60.783239280663,103.113260719337,"a"
"rhe1","L","Day 5",85.8313500000001,7.99778727808857,342,64.6663392806633,106.996360719337,"a"
"rhe1","M","Day 5",281.864,7.99778727808857,342,260.698989280663,303.029010719337,"b"
"Col-0","L","Day 7",66.7398499999997,7.99778727808857,342,45.5748392806628,87.9048607193365,"a"
"rhe1","L","Day 7",86.2784499999999,7.99778727808858,342,65.113439280663,107.443460719337,"a"
"rhe1","U","Day 7",87.0837499999998,7.99778727808857,342,65.9187392806629,108.248760719337,"a"
"Col-0","U","Day 7",87.1390499999997,7.99778727808856,342,65.9740392806629,108.304060719337,"a"
"Col-0","M","Day 7",205.1708,7.99778727808858,342,184.005789280663,226.335810719337,"b"
"rhe1","M","Day 7",323.2788,7.99778727808858,342,302.113789280663,344.443810719336,"c"
"rhe1","L","Day 9",70.74835,7.99778727808857,342,49.5833392806632,91.9133607193368,"a"
"Col-0","L","Day 9",71.5978,7.99778727808858,342,50.4327892806631,92.7628107193368,"a"
"rhe1","U","Day 9",85.6237,7.99778727808858,342,64.4586892806631,106.788710719337,"a"
"Col-0","U","Day 9",94.7927999999999,7.99778727808856,342,73.627789280663,115.957810719337,"a"
"Col-0","M","Day 9",280.77915,7.99778727808858,342,259.614139280663,301.944160719336,"b"
"rhe1","M","Day 9",351.126349999999,7.99778727808858,342,329.961339280663,372.291360719336,"c"
