"Time","Genotype","Treatment","y"
"Day 5","Col-0","U",98.1475
"Day 5","Col-0","M",114.7927
"Day 5","Col-0","L",98.9802
"Day 5","rhe1","U",138.5791
"Day 5","rhe1","M",407.5742
"Day 5","rhe1","L",153.8955
"Day 7","Col-0","U",160.0313
"Day 7","Col-0","M",369.0643
"Day 7","Col-0","L",102.8555
"Day 7","rhe1","U",158.7256
"Day 7","rhe1","M",478.9279
"Day 7","rhe1","L",133.8172
"Day 9","Col-0","U",169.4957
"Day 9","Col-0","M",415.6746
"Day 9","Col-0","L",109.406
"Day 9","rhe1","U",194.172
"Day 9","rhe1","M",492.9243
"Day 9","rhe1","L",132.7524
